20150211,713,ANKARA / ÇUBUK - İZMİR / KARŞIYAKA - KASTAMONU / MERKEZ - KOCAELİ / İZMİT
20150204,712,İSTANBUL / FATİH
20150128,711,İSTANBUL / FATİH
20150121,710,İSTANBUL / ŞİŞLİ
20150114,709,İSTANBUL / SANCAKTEPE - İZMİR / BORNOVA
20150107,708,İSTANBUL / BEYKOZ - SAKARYA / HENDEK - SİVAS / MERKEZ
20141231,707,ANTALYA / KEPEZ - MERSİN / AKDENİZ - İSTANBUL / ÜSKÜDAR - İZMİR / TORBALI
20141224,706,İSTANBUL / FATİH
20141217,705,Devir
20141210,704,ANKARA / ETİMESGUT
20141203,703,İSTANBUL / KADIKÖY - TOKAT / MERKEZ
20141126,702,MANİSA / ŞEHZADELER
20141119,701,Devir
20141112,700,TEKİRDAĞ / SARAY
20141105,699,ANKARA / ÇANKAYA - AYDIN / NAZİLLİ - MERSİN / YENİŞEHİR - İSTANBUL / GAZİOSMANPAŞA
20141029,698,MERSİN / ERDEMLİ
20141022,697,Devir
20141015,696,ELAZIĞ / KARAKOÇAN - AKSARAY / MERKEZ
20141008,695,Devir
20141001,694,Devir
20140924,693,Devir
20140917,692,ADANA / YÜREĞİR - ANTALYA / MURATPAŞA - MERSİN / AKDENİZ
20140910,691,MUĞLA / MİLAS
20140903,690,BALIKESİR / BANDIRMA - İSTANBUL / BAYRAMPAŞA - İZMİR / KONAK
20140827,689,Devir
20140820,688,İSTANBUL / BAĞCILAR - KOCAELİ / GEBZE
20140813,687,İZMİR / KONAK
20140806,686,KAHRAMANMARAŞ / PAZARCIK
20140730,685,Devir
20140723,684,Devir
20140716,683,ANKARA / ÇANKAYA - İSTANBUL / KADIKÖY - İSTANBUL / MALTEPE - İZMİR / DİKİLİ - TEKİRDAĞ / SÜLEYMANPAŞA
20140709,682,ANKARA / YENİMAHALLE - DENİZLİ / PAMUKKALE - İSTANBUL / ÜMRANİYE
20140702,681,İZMİR / KARŞIYAKA
20140625,680,Devir
20140618,679,ANKARA / POLATLI - KOCAELİ / KÖRFEZ - MUĞLA / BODRUM
20140611,678,AFYONKARAHİSAR / DİNAR - ZONGULDAK / KDZ. EREĞLİ
20140604,677,ANKARA / MAMAK
20140528,676,ANTALYA / MURATPAŞA - HATAY / İSKENDERUN
20140521,675,İZMİR / KARŞIYAKA
20140514,674,İSTANBUL / BAĞCILAR
20140507,673,Devir
20140430,672,İSTANBUL / BEŞİKTAŞ - İZMİR / KONAK
20140423,671,ANKARA / ÇANKAYA
20140416,670,İSTANBUL / EYÜP - İSTANBUL / ATAŞEHİR - SAMSUN / İLKADIM
20140409,669,ANTALYA / MURATPAŞA - İSTANBUL / PENDİK
20140402,668,ÇANAKKALE / GELİBOLU - İSTANBUL / MALTEPE
20140326,667,BİNGÖL / KIĞI - İZMİR / KONAK - İZMİR / KARABAĞLAR
20140319,666,SAMSUN / İLKADIM - ZONGULDAK / EREĞLİ
20140312,665,AYDIN / SÖKE - İSTANBUL / BAKIRKÖY - İSTANBUL / BAKIRKÖY - SİVAS / YILDIZELİ
20140305,664,ANKARA / YENİMAHALLE - İSTANBUL / SANCAKTEPE - KONYA / MERAM
20140226,663,ADANA / ÇUKUROVA
20140219,662,ESKİŞEHİR / TEPEBAŞI
20140212,661,Devir
20140205,660,İSTANBUL / KADIKÖY
20140129,659,KONYA / SELÇUKLU
20140122,659,KONYA / SELÇUKLU
20140115,657,ADIYAMAN / MERKEZ - BURSA / MUSTAFAKEMALPAŞA - HATAY / İSKENDERUN - İSTANBUL / ŞİŞLİ
20140108,656,DENİZLİ / MERKEZ - EDİRNE / İPSALA
20140101,655,MUĞLA / KÖYCEĞİZ
20131225,654,İSTANBUL / ESENLER
20131218,653,İZMİR / BUCA
20131211,652,Devir
20131204,651,ANTALYA / AKSU - İZMİR / NARLIDERE
20131127,650,DENİZLİ / MERKEZ - HATAY / SAMANDAĞI
20131120,649,BALIKESİR / MERKEZ - İZMİR / KONAK
20131113,648,Devir
20131106,647,ANTALYA / KONYAALTI
20131030,646,İSTANBUL / SARIYER
20131023,645,AYDIN / KUŞADASI - SAKARYA / ADAPAZARI - TEKİRDAĞ / ÇERKEZKÖY
20131016,644,Devir
20131009,643,ANKARA / ÇANKAYA - SAKARYA / KAYNARCA
20131002,642,BOLU / MERKEZ
20130925,641,ANKARA / ÇANKAYA - ANKARA / ÇANKAYA - İZMİR / ÇEŞME - İZMİR / BALÇOVA
20130918,640,HATAY / ANTAKYA - SAMSUN / ÇARŞAMBA
